[  561.613528] Out of memory: Killed process 1489 (newmem.bash) total-vm:338384kB, anon-rss:89716kB, file-rss:120kB, shmem-rss:0kB, UID:0
[  572.634590] Out of memory: Killed process 1491 (newmem.bash) total-vm:331652kB, anon-rss:58340kB, file-rss:64kB, shmem-rss:0kB, UID:0
[  583.963869] Out of memory: Killed process 1493 (newmem.bash) total-vm:328088kB, anon-rss:58732kB, file-rss:4kB, shmem-rss:0kB, UID:0
[  593.796029] Out of memory: Killed process 1495 (newmem.bash) total-vm:327560kB, anon-rss:60108kB, file-rss:180kB, shmem-rss:0kB, UID:0
[  604.464499] Out of memory: Killed process 1499 (newmem.bash) total-vm:328880kB, anon-rss:65160kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  615.808448] Out of memory: Killed process 1509 (newmem.bash) total-vm:339968kB, anon-rss:82268kB, file-rss:448kB, shmem-rss:0kB, UID:0
[  628.414498] Out of memory: Killed process 1497 (newmem.bash) total-vm:334952kB, anon-rss:66376kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  640.942371] Out of memory: Killed process 1501 (newmem.bash) total-vm:336404kB, anon-rss:70012kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  653.904086] Out of memory: Killed process 1503 (newmem.bash) total-vm:341024kB, anon-rss:73844kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  666.200527] Out of memory: Killed process 1507 (newmem.bash) total-vm:346568kB, anon-rss:80072kB, file-rss:32kB, shmem-rss:0kB, UID:0
[  677.663030] Out of memory: Killed process 1535 (newmem.bash) total-vm:351848kB, anon-rss:94796kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  695.111232] Out of memory: Killed process 1513 (newmem.bash) total-vm:357788kB, anon-rss:91120kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  711.872129] Out of memory: Killed process 1505 (newmem.bash) total-vm:365312kB, anon-rss:91236kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  729.599067] Out of memory: Killed process 1515 (newmem.bash) total-vm:374816kB, anon-rss:103092kB, file-rss:568kB, shmem-rss:0kB, UID:0
[  745.352730] Out of memory: Killed process 1511 (newmem.bash) total-vm:382868kB, anon-rss:107012kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  765.876957] Out of memory: Killed process 1517 (newmem.bash) total-vm:390788kB, anon-rss:112932kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  784.019154] Out of memory: Killed process 1523 (newmem.bash) total-vm:402008kB, anon-rss:123212kB, file-rss:52kB, shmem-rss:0kB, UID:0
[  802.639708] Out of memory: Killed process 1521 (newmem.bash) total-vm:415604kB, anon-rss:131996kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  822.776089] Out of memory: Killed process 1519 (newmem.bash) total-vm:432764kB, anon-rss:142336kB, file-rss:0kB, shmem-rss:0kB, UID:0
[  844.699848] Out of memory: Killed process 1537 (newmem.bash) total-vm:447416kB, anon-rss:158364kB, file-rss:4kB, shmem-rss:0kB, UID:0
